




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	upload_1 (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER Pathways	Mus musculus - REFLIST (21836)	upload_1 (107)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
Alanine biosynthesis (P02724)	2	1	.01	+	 > 100	9.78E-03	7.87E-01
Valine biosynthesis (P02785)	3	1	.01	+	68.02	1.46E-02	7.85E-01
Leucine biosynthesis (P02749)	3	1	.01	+	68.02	1.46E-02	5.89E-01
Isoleucine biosynthesis (P02748)	4	1	.02	+	51.02	1.95E-02	4.48E-01
2-arachidonoylglycerol biosynthesis (P05726)	7	1	.03	+	29.15	3.38E-02	5.44E-01
Pyrimidine Metabolism (P02771)	11	1	.05	+	18.55	5.26E-02	5.65E-01
General transcription by RNA polymerase I (P00022)	15	1	.07	+	13.60	7.11E-02	7.15E-01
5HT3 type receptor mediated signaling pathway (P04375)	16	1	.08	+	12.75	7.56E-02	6.76E-01
Plasminogen activating cascade (P00050)	17	1	.08	+	12.00	8.01E-02	6.79E-01
Angiotensin II-stimulated signaling through G proteins and beta-arrestin (P05911)	38	2	.19	+	10.74	1.49E-02	4.80E-01
Hedgehog signaling pathway (P00025)	20	1	.10	+	10.20	9.36E-02	7.54E-01
p53 pathway by glucose deprivation (P04397)	22	1	.11	+	9.28	1.02E-01	7.86E-01
Axon guidance mediated by semaphorins (P00007)	22	1	.11	+	9.28	1.02E-01	7.50E-01
Alpha adrenergic receptor signaling pathway (P00002)	23	1	.11	+	8.87	1.07E-01	7.48E-01
Metabotropic glutamate receptor group I pathway (P00041)	24	1	.12	+	8.50	1.11E-01	7.17E-01
Endogenous cannabinoid signaling (P05730)	25	1	.12	+	8.16	1.16E-01	7.16E-01
Blood coagulation (P00011)	51	2	.25	+	8.00	2.60E-02	5.22E-01
Endothelin signaling pathway (P00019)	85	3	.42	+	7.20	8.45E-03	1.00E00
Transcription regulation by bZIP transcription factor (P00055)	57	2	.28	+	7.16	3.19E-02	5.70E-01
Interferon-gamma signaling pathway (P00035)	30	1	.15	+	6.80	1.37E-01	8.18E-01
VEGF signaling pathway (P00056)	68	2	.33	+	6.00	4.40E-02	5.90E-01
Ras Pathway (P04393)	72	2	.35	+	5.67	4.87E-02	6.03E-01
Insulin/IGF pathway-mitogen activated protein kinase kinase/MAP kinase cascade (P00032)	36	1	.18	+	5.67	1.62E-01	9.33E-01
