




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.14083199 Released 2024-11-03
Analyzed List:	upload_1 (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Mus musculus - REFLIST (21836)	upload_1 (3078)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
gamma-catenin-TCF7L2 complex (GO:0071665)	1	1	.14	+	7.09	1.41E-01	4.79E-01
polytene chromosome (GO:0005700)	1	1	.14	+	7.09	1.41E-01	4.78E-01
epididymosome (GO:0098875)	1	1	.14	+	7.09	1.41E-01	4.77E-01
late endosome lumen (GO:0031906)	2	2	.28	+	7.09	1.99E-02	1.20E-01
AIP1-IRE1 complex (GO:1990597)	2	2	.28	+	7.09	1.99E-02	1.20E-01
mitochondrial DNA-directed RNA polymerase complex (GO:0034245)	1	1	.14	+	7.09	1.41E-01	4.76E-01
climbing fiber (GO:0044301)	2	2	.28	+	7.09	1.99E-02	1.19E-01
HSP90-CDC37 chaperone complex (GO:1990565)	2	2	.28	+	7.09	1.99E-02	1.19E-01
synaptic vesicle lumen (GO:0034592)	1	1	.14	+	7.09	1.41E-01	4.76E-01
amyloid-beta complex (GO:0106003)	1	1	.14	+	7.09	1.41E-01	4.75E-01
tRNA (m2G10) methyltransferase complex (GO:0043528)	1	1	.14	+	7.09	1.41E-01	4.74E-01
CST complex (GO:1990879)	3	3	.42	+	7.09	2.80E-03	2.51E-02
cytoplasmic side of nuclear pore (GO:1990876)	1	1	.14	+	7.09	1.41E-01	4.73E-01
ventral surface of cell (GO:0061835)	1	1	.14	+	7.09	1.41E-01	4.72E-01
actin filament branch point (GO:0061834)	1	1	.14	+	7.09	1.41E-01	4.72E-01
autolysosome lumen (GO:0120282)	1	1	.14	+	7.09	1.41E-01	4.71E-01
podosome ring (GO:0061826)	2	2	.28	+	7.09	1.99E-02	1.19E-01
basal body patch (GO:0120220)	1	1	.14	+	7.09	1.41E-01	4.70E-01
